UF;MUNICÍPIO;IBGE;Comp. CNES;Parcela;Indicador de Equidade e Dimensionamento;Classificação Componente Vínculo;Classificação Componente Qualidade;Teto eSF;Qtde. eSF Credenciadas;Qtde. eSF Homologadas;Qtde. eSF Pagas;Qtde. eSF Completas;Qtde. eSF Incompletas - 75%;Qtde. eSF Incompletas - 50%;Qtde. eSF Incompletas - 25%;Componente Equidade eSF;Vínculo e Acompanhamento territorial eSF;Qualidade eSF;Parcela Adicional - Qualidade;Valor Total eSF;Implantação eSF
MG;DORES DE GUANHAES;312310;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;3;3;3;3;0;0;0;R$ 42.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 78.000,00 ;R$ 0,00 
MG;DORES DO INDAIA;312320;JAN/2025;3/12;ESTRATO 3;BOM;BOM;6;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;DORES DO TURVO;312330;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
MG;DORESOPOLIS;312340;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;DOURADOQUARA;312350;JAN/2025;3/12;ESTRATO 3;BOM;BOM;1;1;1;1;1;0;0;0;R$ 14.000,00 ;R$ 6.000,00 ;R$ 6.000,00 ;R$ 0,00 ;R$ 26.000,00 ;R$ 0,00 
MG;DURANDE;312352;JAN/2025;3/12;ESTRATO 3;BOM;BOM;4;3;3;3;3;0;0;0;R$ 42.000,00 ;R$ 18.000,00 ;R$ 18.000,00 ;R$ 0,00 ;R$ 78.000,00 ;R$ 0,00 
MG;ELOI MENDES;312360;JAN/2025;3/12;ESTRATO 4;BOM;BOM;14;8;8;7;5;0;2;0;R$ 72.000,00 ;R$ 36.000,00 ;R$ 36.000,00 ;R$ 0,00 ;R$ 144.000,00 ;R$ 0,00 
MG;ENGENHEIRO CALDAS;312370;JAN/2025;3/12;ESTRATO 3;BOM;BOM;7;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;ENGENHEIRO NAVARRO;312380;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;4;4;4;4;0;0;0;R$ 56.000,00 ;R$ 24.000,00 ;R$ 24.000,00 ;R$ 0,00 ;R$ 104.000,00 ;R$ 0,00 
MG;ENTRE FOLHAS;312385;JAN/2025;3/12;ESTRATO 3;BOM;BOM;3;2;2;2;2;0;0;0;R$ 28.000,00 ;R$ 12.000,00 ;R$ 12.000,00 ;R$ 0,00 ;R$ 52.000,00 ;R$ 0,00 
