CNES;ESTABELECIMENTO;TIPO DO ESTABELECIMENTO;INE;NOME DA EQUIPE;SIGLA DA EQUIPE;MUNICÍPIO;REGIÃO DE SAÚDE;COMPETÊNCIA;INDICADOR;TER REALIZADO A PRIMEIRA CONSULTA DE PRÉ-NATAL ATÉ 12 SEMANAS DE GESTAÇÃO;TER REALIZADO PELO MENOS 07 CONSULTAS DURANTE O PERÍODO DE GESTAÇÃO PARA VALORIZAR O DIAGNÓSTICO E ACOLHIMENTO OPORTUNO;TER REALIZADO PELO MENOS 07 REGISTROS DE PRESSÃO ARTERIAL DURANTE O PERÍODO DA GESTAÇÃO;TER REALIZADO PELO MENOS 07 REGISTROS SIMULTÂNEOS DE PESO E ALTURA DURANTE O PERÍODO DA GESTAÇÃO;TER REGISTRO DE PELO MENOS 03 VISITAS DOMICILIARES DO ACS/TACS, APÓS A PRIMEIRA CONSULTA DO PRÉ-NATAL;TER REGISTRO DE UMA DOSE DE DTPA A PARTIR DA 20ª SEMANA DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS, HIV E HEPATITES B E C REALIZADOS NO PRIMEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DOS TESTES RÁPIDOS OU DOS EXAMES AVALIADOS PARA SÍFILIS E HIV REALIZADOS NO TERCEIRO TRIMESTRE DE CADA GESTAÇÃO;TER REGISTRO DE PELO MENOS 01 CONSULTA PRESENCIAL OU REMOTA POR PROFISSIONAL MÉDICA(O) OU ENFERMEIRA(O) REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 VISITA DOMICILIAR POR ACS/TACS REALIZADA DURANTE O PUERPÉRIO;TER REGISTRO DE PELO MENOS 01 AVALIAÇÃO ODONTOLÓGICA REALIZADA DURANTE O PERÍODO DA GESTAÇÃO POR PROFISSIONAL CIRURGIÃ(ÃO) DENTISTA OU TÉCNICA(O) EM SAÚDE BUCAL OU AUXILIAR DE SAÚDE BUCA;SOMATÓRIO DE BOAS PRÁTICAS REALIZADAS PARA GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;NÚMERO TOTAL DE GESTANTES E PUÉRPERAS VINCULADAS À EQUIPE;PONTUAÇÃO
2546426;UNIDADE DE SAUDE DA FAMILIA SOL NASCENTE;CENTRO DE SAUDE/UNIDADE BASICA;37966;ESF SOL NASCENTE 010;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;4;2;2;1;4;3;1;0;0;1;1;175;5;35
2546469;UNIDADE DE SAUDE DA FAMILIA VILA NOVA;CENTRO DE SAUDE/UNIDADE BASICA;1695703;ESF VILA NOVA 026;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;7;2;2;2;2;4;3;0;3;1;0;241;8;30,13
2546426;UNIDADE DE SAUDE DA FAMILIA SOL NASCENTE;CENTRO DE SAUDE/UNIDADE BASICA;1695746;ESF SOL NASCENTE 027;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;7;6;1;3;7;1;0;4;1;7;433;13;33,31
2546469;UNIDADE DE SAUDE DA FAMILIA VILA NOVA;CENTRO DE SAUDE/UNIDADE BASICA;38016;ESF VILA NOVA 004;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;4;4;3;2;3;5;0;1;1;8;379;12;31,58
2546396;UNIDADE DE SAUDE DA FAMILIA CASEGO;CENTRO DE SAUDE/UNIDADE BASICA;37893;ESF CASEGO 009;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;9;2;4;0;7;8;2;0;3;2;8;414;12;34,5
7023138;UNIDADE DE SAUDE DA FAMILIA JOAO MANOEL DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;1570374;ESF JOAO MANOEL DOS SANTOS 022;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;12;7;9;9;9;1;9;4;2;2;10;678;13;52,15
2546469;UNIDADE DE SAUDE DA FAMILIA VILA NOVA;CENTRO DE SAUDE/UNIDADE BASICA;38024;ESF VILA NOVA - ZONA RURAL;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;2;0;1;1;1;1;1;0;0;1;0;74;3;24,67
2546450;UNIDADE DE SAUDE DA FAMILIA SEVILHA;CENTRO DE SAUDE/UNIDADE BASICA;37990;ESF SEVILHA 008;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;9;3;3;3;0;2;6;0;5;0;6;342;10;34,2
2546485;UNIDADE DE SAUDE DA FAMILIA SAO JOSE;CENTRO DE SAUDE/UNIDADE BASICA;38067;ESF SAO JOSE 002;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;16;4;8;7;5;7;2;0;2;3;17;655;20;32,75
2546477;UNIDADE DE SAUDE DA FAMILIA WALDIR LINS;CENTRO DE SAUDE/UNIDADE BASICA;38040;ESF WALDIR LINS 006;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;14;4;9;7;4;8;1;0;3;1;13;590;18;32,78
3545520;UNIDADE BASICA DE SAUDE ROSENDO BARBOSA DE ARAUJO;CENTRO DE SAUDE/UNIDADE BASICA;38083;ESF ROSENDO 014;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;7;3;5;4;3;5;6;0;0;0;8;376;11;34,18
7023138;UNIDADE DE SAUDE DA FAMILIA JOAO MANOEL DOS SANTOS;CENTRO DE SAUDE/UNIDADE BASICA;1601474;ESF JOAO MANOEL DOS SANTOS 023;eSF;GURUPI;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;10;3;2;1;4;4;6;1;0;0;4;325;11;29,55
2486849;UNIDADE BASICA DE SAUDE JOSE FRANCISCO DOURADO;CENTRO DE SAUDE/UNIDADE BASICA;40045;EQUIPE URBANA;eSF;TALISMÃ;ILHA DO BANANAL;Abril;Cuidado com a Gestante e Puérpera;23;8;10;9;12;7;7;0;3;4;15;905;24;37,71
